Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,40231758.00 $,43006362.00 $,45780966.00 $,,,,Bird Rights,129019086.00 $
2,Chris Paul\paulch01,OKC,38506482.00 $,41358814.00 $,44211146.00 $,,,,Bird Rights,79865296.00 $
3,Russell Westbrook\westbru01,HOU,38178000.00 $,41006000.00 $,43848000.00 $,46662000.00 $,,,Bird Rights,123032000.00 $
4,John Wall\walljo01,WAS,37800000.00 $,40824000.00 $,43848000.00 $,46872000.00 $,,,Bird Rights,122472000.00 $
5,James Harden\hardeja01,HOU,37800000.00 $,40824000.00 $,43848000.00 $,46872000.00 $,,,Bird Rights,122472000.00 $
6,LeBron James\jamesle01,LAL,37436858.00 $,39219565.00 $,41002273.00 $,,,,Cap Space,76656423.00 $
7,Kevin Durant\duranke01,BRK,37199000.00 $,39058950.00 $,40918900.00 $,42778850.00 $,,,Sign and Trade,117176850.00 $
8,Blake Griffin\griffbl01,DET,34234964.00 $,36595996.00 $,38957028.00 $,,,,Bird Rights,70830960.00 $
9,Kyle Lowry\lowryky01,TOR,33296296.00 $,30000000.00 $,,,,,Bird Rights,63296296.00 $
10,Paul George\georgpa01,LAC,33005556.00 $,35450412.00 $,37895268.00 $,,,,Maximum Salary,68455968.00 $
11,Klay Thompson\thompkl01,GSW,32742000.00 $,35361360.00 $,37980720.00 $,40600080.00 $,43219440.00 $,,Bird Rights,189903600.00 $
12,Jimmy Butler\butleji01,MIA,32742000.00 $,34379100.00 $,36016200.00 $,37653300.00 $,,,Sign and Trade,103137300.00 $
13,Kemba Walker\walkeke02,BOS,32742000.00 $,34379100.00 $,36016200.00 $,37653300.00 $,,,Sign and Trade,103137300.00 $
14,Kawhi Leonard\leonaka01,LAC,32742000.00 $,34379100.00 $,36016200.00 $,,,,Cap Space,67121100.00 $
15,Gordon Hayward\haywago01,BOS,32700690.00 $,34187085.00 $,,,,,Cap space,32700690.00 $
16,Mike Conley\conlemi01,UTA,32511623.00 $,34504132.00 $,,,,,Cap Space,54938006.00 $
17,Kyrie Irving\irvinky01,BRK,31742000.00 $,33329100.00 $,34916200.00 $,36503300.00 $,,,Cap space,136490600.00 $
18,Tobias Harris\harrito02,PHI,31034483.00 $,33517241.00 $,36000000.00 $,38482759.00 $,40965517.00 $,,Bird Rights,180000000.00 $
19,Khris Middleton\middlkh01,MIL,30603448.00 $,33051724.00 $,35500000.00 $,37948276.00 $,40396552.00 $,,Bird Rights,137103448.00 $
20,Paul Millsap\millspa01,DEN,30500000.00 $,,,,,,Cap space,30500000.00 $
21,Damian Lillard\lillada01,POR,29802321.00 $,31626953.00 $,43750000.00 $,47250000.00 $,50750000.00 $,54250000.00 $,1st Round Pick,257429274.00 $
22,Kevin Love\loveke01,CLE,28900000.00 $,31300000.00 $,31300000.00 $,28900000.00 $,,,Bird Rights,120400000.00 $
23,Nikola Vučević\vucevni01,ORL,28000000.00 $,26000000.00 $,24000000.00 $,22000000.00 $,,,Bird Rights,100000000.00 $
24,Al Horford\horfoal01,PHI,28000000.00 $,27500000.00 $,27000000.00 $,26500000.00 $,,,Cap Space,97000000.00 $
25,DeMar DeRozan\derozde01,SAS,27739975.00 $,27739975.00 $,,,,,Cap Space,27739975.00 $
26,CJ McCollum\mccolcj01,POR,27556959.00 $,29354152.00 $,30864198.00 $,33333333.00 $,35802469.00 $,,1st Round Pick,156911111.00 $
27,Joel Embiid\embiijo01,PHI,27504630.00 $,29542010.00 $,31579390.00 $,33616770.00 $,,,1st Round Pick,122242800.00 $
28,Andrew Wiggins\wiggian01,GSW,27504630.00 $,29542010.00 $,31579390.00 $,33616770.00 $,,,1st Round Pick,122242800.00 $
29,Kristaps Porziņģis\porzikr01,DAL,27285000.00 $,29467800.00 $,31650600.00 $,33833400.00 $,36016200.00 $,,Bird Rights,122236800.00 $
30,D'Angelo Russell\russeda01,MIN,27285000.00 $,28649250.00 $,30013500.00 $,31377750.00 $,,,Sign and Trade,117325500.00 $
31,Otto Porter\porteot01,CHI,27250576.00 $,28489239.00 $,,,,,Bird Rights,27250576.00 $
32,Devin Booker\bookede01,PHO,27250000.00 $,29430000.00 $,31610000.00 $,33790000.00 $,35970000.00 $,,1st round pick,158050000.00 $
33,Karl-Anthony Towns\townska01,MIN,27250000.00 $,29430000.00 $,31610000.00 $,33790000.00 $,35970000.00 $,,1st Round Pick,155870000.00 $
34,Bradley Beal\bealbr01,WAS,27093019.00 $,28751775.00 $,34502130.00 $,37262300.00 $,,,Cap Space,90346924.00 $
35,Anthony Davis\davisan02,LAL,27093019.00 $,28751775.00 $,,,,,1st Round Pick,27093019.00 $
36,Andre Drummond\drumman01,CLE,27093019.00 $,28751775.00 $,,,,,Cap Space,27093019.00 $
37,Hassan Whiteside\whiteha01,POR,27093018.00 $,,,,,,Cap Space,27093018.00 $
38,Nikola Jokić\jokicni01,DEN,26573595.00 $,28542009.00 $,30510423.00 $,32478837.00 $,,,Bird Rights,118104864.00 $
39,Jrue Holiday\holidjr01,NOP,26131111.00 $,26131111.00 $,27020000.00 $,,,,Bird Rights,52262222.00 $
40,LaMarcus Aldridge\aldrila01,SAS,26000000.00 $,24000000.00 $,,,,,Cap Space,50000000.00 $
41,Steven Adams\adamsst01,OKC,25842697.00 $,27528090.00 $,,,,,1st Round Pick,53370787.00 $
42,Giannis Antetokounmpo\antetgi01,MIL,25842697.00 $,27528090.00 $,,,,,1st Round Pick,53370787.00 $
43,Marc Gasol\gasolma01,TOR,25595700.00 $,,,,,,Bird Rights,25595700.00 $
44,Nicolas Batum\batumni01,CHO,25565217.00 $,27130434.00 $,,,,,Cap Space,25565217.00 $
45,Chandler Parsons\parsoch01,ATL,25102511.00 $,,,,,,,25102511.00 $
46,Rudy Gobert\goberru01,UTA,25008427.00 $,26525281.00 $,,,,,1st Round Pick,51533708.00 $
47,Harrison Barnes\barneha02,SAC,24147727.00 $,22215909.00 $,20284091.00 $,18352273.00 $,,,Bird Rights,85000000.00 $
48,Serge Ibaka\ibakase01,TOR,23271604.00 $,,,,,,Cap space,23271604.00 $
49,Danilo Gallinari\gallida01,OKC,22615559.00 $,,,,,,Sign and Trade,22615559.00 $
50,Victor Oladipo\oladivi01,IND,21000000.00 $,21000000.00 $,,,,,1st Round Pick,42000000.00 $
51,Malcolm Brogdon\brogdma01,IND,20000000.00 $,20700000.00 $,21700000.00 $,22600000.00 $,,,Sign and Trade,85000000.00 $
52,Terry Rozier\roziete01,CHO,19894737.00 $,18900000.00 $,17905263.00 $,,,,Sign and Trade,56700000.00 $
53,Aaron Gordon\gordoaa01,ORL,19863636.00 $,18136364.00 $,16409091.00 $,,,,Bird Rights,54409091.00 $
54,Zach LaVine\lavinza01,CHI,19500000.00 $,19500000.00 $,19500000.00 $,,,,Cap space,58500000.00 $
55,Kent Bazemore\bazemke01,SAC,19269662.00 $,,,,,,Cap Space,19269662.00 $
56,Tyler Johnson\johnsty01,PHO,19245370.00 $,,,,,,,19245370.00 $
57,Goran Dragić\dragigo01,MIA,19217900.00 $,,,,,,Bird Rights,19217900.00 $
58,Jeff Teague\teaguje01,ATL,19000000.00 $,,,,,,Cap space,19000000.00 $
59,Evan Turner\turneev01,MIN,18606557.00 $,,,,,,Cap Space,18606557.00 $
60,Draymond Green\greendr01,GSW,18539130.00 $,22246956.00 $,24026712.00 $,25806469.00 $,27586225.00 $,,Bird Rights,90619267.00 $
61,Tristan Thompson\thomptr01,CLE,18539130.00 $,,,,,,Bird Rights,18539130.00 $
62,Tim Hardaway\hardati02,DAL,18150000.00 $,18975000.00 $,,,,,Cap space,18150000.00 $
63,Myles Turner\turnemy01,IND,18000000.00 $,18000000.00 $,18000000.00 $,18000000.00 $,,,1st Round pick,72000000.00 $
64,Julius Randle\randlju01,NYK,18000000.00 $,18900000.00 $,19800000.00 $,,,,Cap Space,40900000.00 $
65,Gary Harris\harriga01,DEN,17839286.00 $,19160714.00 $,20482143.00 $,,,,1st Round Pick,57482143.00 $
66,Allen Crabbe\crabbal01,MIN,17818456.00 $,,,,,,,17818456.00 $
67,Derrick Favors\favorde01,NOP,17650000.00 $,,,,,,Bird Rights,17650000.00 $
68,Reggie Jackson\jacksre01,DET,17286956.00 $,,,,,,,17286956.00 $
69,Andre Iguodala\iguodan01,MIA,17185185.00 $,15000000.00 $,15000000.00 $,,,,Bird Rights,32185185.00 $
70,Bojan Bogdanović\bogdabo02,UTA,17000000.00 $,17850000.00 $,18700000.00 $,19550000.00 $,,,Cap Space,73100000.00 $
71,Evan Fournier\fournev01,ORL,17000000.00 $,17000000.00 $,,,,,Cap Space,17000000.00 $
72,Bismack Biyombo\biyombi01,CHO,17000000.00 $,,,,,,Cap Space,17000000.00 $
73,Clint Capela\capelca01,ATL,16456522.00 $,17500000.00 $,18543478.00 $,19586957.00 $,,,Bird Rights,72086957.00 $
