city,state,zipcode
Apache Junction,AZ,85120
Buckeye,AZ,85326
Bullhead City,AZ,86442
Casa Grande,AZ,85122
Cave Creek ,AZ,85331
Chandler,AZ,85226
Cottonwood,AZ,86326
Flagstaff,AZ,86001
Flagstaff,AZ,86004
Gilbert,AZ,85233
Gilbert,AZ,85234
Gilbert,AZ,85297
Gilbert,AZ,85296
Glendale,AZ,85308
Glendale,AZ,85305
Goodyear,AZ,85395
Goodyear,AZ,85338
Green Valley,AZ,85614
Kingman,AZ,86409
Maricopa,AZ,85139
Mesa,AZ,85203
Mesa,AZ,85206
Mesa,AZ,85210
Mesa,AZ,85209
Oro Valley,AZ,85704
Payson,AZ,85541
Peoria,AZ,85381
Peoria,AZ,85226
Phoenix,AZ,85032
Phoenix,AZ,85014
Phoenix,AZ,85020
Phoenix,AZ,85032
Phoenix,AZ,85016
Phoenix,AZ,85048
Prescott,AZ,86301
Prescott Valley,AZ,86314
Queen Creek,AZ,85142
San Tan Valley,AZ,85140
Scottsdale,AZ,85257
Scottsdale,AZ,85254
Scottsdale,AZ,85255
Scottsdale,AZ,85260
Scottsdale,AZ,85250
Sierra Vista,AZ,85635
Surprise,AZ,85374
Tempe,AZ,85281
Tempe,AZ,85282
Tempe,AZ,85283
Tucson,AZ,85742
Tucson,AZ,85741
Tucson,AZ,85712
Tucson,AZ,85712
Tucson,AZ,85746
Tucson,AZ,85713
Tucson,AZ,85711
Tucson,AZ,85748
Tucson,AZ,85747
Tucson,AZ,85712
Tucson ,AZ,85716
Yuma ,AZ,85364
Yuma ,AZ,85364
Anderson,CA,96007
Antelope,CA,95843
Apple Valley,CA,92308
Arroyo Grande,CA,93420
Auburn,CA,95602
Auburn,CA,95603
Bakersfield,CA,93305
Bakersfield,CA,93312
Bakersfield,CA,93304
Brentwood,CA,94513
Carmichael,CA,95608
Chico,CA,95928
Chico,CA,95928
Chico,CA,95928
Chico,CA,95928
Chico,CA,95973
Citrus Heights,CA,95610
Citrus Heights,CA,95621
Clovis,CA,93611
Crescent City,CA,95531
Davis,CA,95616
Dixon,CA,95620
Dixon,CA,95620
Elk Grove,CA,95624
Elk Grove,CA,95624
Eureka,CA,95501
Eureka,CA,95501
Fair Oaks,CA,95628
Fairfield,CA,94533
Folsom,CA,95630
Fresno,CA,93711
Fresno,CA,93711
Fresno,CA,93726
Fresno,CA,93703
Fresno,CA,93720
Fresno,CA,93620
Fresno,CA,93711
Galt,CA,95632
Granite Bay,CA,95746
Grass Valley,CA,95945
Hanford,CA,93230
Indio,CA,92201
La Quinta,CA,92253
Lemoore,CA,93245
Live Oak,CA,95953
Lodi,CA,95242
Lodi,CA,95240
Los Banos,CA,93635
Manteca,CA,95337
Merced,CA,95341
Modesto,CA,95350
Modesto,CA,95351
Napa,CA,94558
Oakdale,CA,95361
Oakley,CA,95461
Orland,CA,95963
Oroville,CA,95966
Palo Cedro,CA,96073
Paradise,CA,95969
Red Bluff,CA,96080
Red Bluff,CA,96080
Redding,CA,96002
Redding,CA,96003
Redding,CA,96002
Redding,CA,96001
Redding,CA,96002
Redding,CA,96001
Ripon,CA,95366
Rocklin,CA,95677
Roseville,CA,95661
Roseville,CA,95661
Sacramento,CA,95823
Sacramento,CA,95841
Sacramento,CA,95834
Sacramento,CA,95821
Sacramento,CA,95820
Sanger,CA,93657
Sanger ,CA,93657
Santa Maria,CA,93454
Santa Rosa,CA,95401
Sonoma,CA,95476
Stockton,CA,95210
Stockton,CA,95210
Stockton,CA,95204
Stockton,CA,95202
Turlock,CA,95382
Vacaville,CA,95687
Vacaville,CA,95687
Victorville,CA,92395
Visalia,CA,93277
Visalia,CA,93277
Woodland,CA,95776
Woodland,CA,95695
Woodland,CA,95776
Yuba City,CA,95991
Yucaipa,CA,92399
Aurora,CO,80013
Aurora,CO,80016
Castle Rock,CO,80108
Colorado Springs,CO,80918
Colorado Springs,CO,80907
Colorado Springs,CO,80921
Colorado Springs,CO,80923
Colorado Springs,CO,80920
Colorado Springs,CO,80903
Colorado Springs,CO,80903
Colorado Springs,CO,80909
Colorado Springs,CO,80904
Colorado Springs,CO,80915
Commerce City,CO,80022
Conifer,CO,80433
Denver,CO,80239
Fort Collins,CO,80525
Fort Collins,CO,80525
Fort Collins,CO,80521
Greeley,CO,80634
Lakewood,CO,80214
Lakewood,CO,80228
Longmont,CO,80501
Loveland,CO,80538
Loveland,CO,80537
Northglenn,CO,80234
Parker,CO,80134
Thornton,CO,80260
Westminister,CO,80234
Windsor,CO,80550
Ammon,ID,83406
Boise,ID,83705
Boise,ID,83706
Boise,ID,83709
Boise,ID,83713
Boise,ID,83705
Boise,ID,83704
Boise,ID,83709
Boise,ID,83702
Boise,ID,83702
Caldwell,ID,83605
Caldwell,ID,83607
Coeur D'Alene,ID,83815
Coeur D'Alene,ID,83815
Eagle ,ID,83616
Garden City,ID,83714
Idaho Falls,ID,83401
Idaho Falls,ID,83404
Lewiston,ID,83501
Lewiston,ID,83501
Meridian,ID,83642
Meridian,ID,83642
Meridian,ID,83642
Meridian,ID,83646
Meridian,ID,83642
Moscow,ID,83843
Mountain Home,ID,83647
Nampa,ID,83687
Nampa,ID,83686
Nampa,ID,83651
Nampa,ID,83651
Payette,ID,83661
Post Falls,ID,83854
Twin Falls,ID,83301
Twin Falls,ID,83301
Albuquerque,NM,97121
Albuquerque,NM,87112
Albuquerque,NM,87112
Bernalillio,NM,87004
Las Cruces,NM,88011
Rancho,NM,87124
Rio Rancho,NM,87124
Carson City,NV,89701
Carson City,NV,89701
Carson City,NV,89703
Henderson,NV,89074
Las Vegas,NV,89121
Las Vegas,NV,89123
Las Vegas,NV,89123
Las Vegas,NV,89139
Las Vegas,NV,89014
Las Vegas,NV,89107
Las Vegas,NV,89149
Las Vegas,NV,89130
Las Vegas,NV,89146
Las Vegas,NV,89139
Las Vegas,NV,89113
Las Vegas,NV,89118
Las Vegas,NV,89147
Las Vegas,NV,89146
Las Vegas,NV,89030
Las Vegas,NV,89102
Las Vegas,NV,89031
Las Vegas,NV,89031
Reno,NV,89502
Reno,NV,89511
Reno,NV,89521
Midwest City,OK,73110
Albany,OR,97322
Albany,OR,97322
Albany,OR,97322
Ashland,OR,97520
Ashland,OR,97520
Astoria,OR,97103
Beaverton,OR,97007
Beaverton,OR,97223
Beaverton,OR,97221
Beaverton,OR,97007
Bend,OR,97701
Bend,OR,97701
Bend,OR,97701
Bend,OR,97701
Bend,OR,97701
Bend,OR,97701
Bend,OR,97459
Brookings,OR,97415
Brookings,OR,97415
