date, pm25, pm10, o3
2022/10/2, 41, , 33
2022/10/3, 42, , 27
2022/10/4, 26, , 12
2022/10/5, 35, , 
2022/10/6, 57, , 
2022/10/7, 72, , 
2022/10/8, 68, , 
2022/10/9, 72, , 
2022/10/10, 91, , 
2022/10/11, 63, , 
2022/10/12, 21, , 
2022/10/13, 44, , 
2022/10/14, 59, , 
2022/10/15, 93, , 
2022/10/16, 80, , 
2022/10/17, 54, , 
2022/10/18, 59, , 
2022/10/19, 112, , 
2022/10/20, 151, , 
2022/10/21, 153, , 
2022/10/22, 23, , 
2022/10/23, 12, , 
2022/10/24, 15, , 
2022/9/2, 38, , 33
2022/9/3, 42, , 22
2022/9/4, 13, , 20
2022/9/5, 12, , 32
2022/9/6, 12, , 44
2022/9/7, 19, , 30
2022/9/8, 17, , 31
2022/9/9, 16, , 29
2022/9/10, 43, , 30
2022/9/11, 82, , 26
2022/9/12, 76, , 30
2022/9/13, 58, , 24
2022/9/14, 27, , 25
2022/9/15, 24, , 23
2022/9/16, 22, , 28
2022/9/17, 13, , 25
2022/9/18, 11, , 29
2022/9/19, 27, , 37
2022/9/20, 48, , 36
2022/9/21, 53, , 27
2022/9/22, 47, , 30
2022/9/23, 21, , 30
2022/9/24, 30, , 28
2022/9/25, 23, , 36
2022/9/26, 34, , 41
2022/9/27, 44, , 25
2022/9/28, 26, , 25
2022/9/29, 17, , 22
2022/9/30, 11, , 16
2022/10/1, 30, , 30
2022/8/2, 13, , 36
2022/8/3, 14, , 25
2022/8/4, 18, , 26
2022/8/5, 13, , 31
2022/8/6, 12, , 41
2022/8/7, 21, , 46
2022/8/8, 29, , 27
2022/8/9, 17, , 34
2022/8/10, 27, , 20
2022/8/11, 14, , 27
2022/8/12, 19, , 24
2022/8/13, 14, , 32
2022/8/14, 13, , 25
2022/8/15, 14, , 29
2022/8/16, 16, , 29
2022/8/17, 11, , 65
2022/8/18, 29, , 42
2022/8/19, 42, , 19
2022/8/20, 9, , 22
2022/8/21, 12, , 28
2022/8/22, 19, , 25
2022/8/23, 12, , 27
2022/8/24, 14, , 36
2022/8/25, 21, , 32
2022/8/26, 19, , 22
2022/8/27, 14, , 22
2022/8/28, 13, , 26
2022/8/29, 18, , 33
2022/8/30, 26, , 49
2022/8/31, 32, , 39
2022/9/1, 42, , 45
2022/7/2, 28, , 21
2022/7/3, 22, , 20
2022/7/4, 17, , 25
2022/7/5, 26, , 20
2022/7/6, 39, , 15
2022/7/7, 9, , 18
2022/7/8, 9, , 21
2022/7/9, 9, , 20
2022/7/10, 11, , 23
2022/7/11, 13, , 34
2022/7/12, 18, , 26
2022/7/13, 17, , 25
2022/7/14, 14, , 25
2022/7/15, 16, , 23
2022/7/16, 11, , 16
2022/7/17, 10, , 20
2022/7/18, 10, , 23
2022/7/19, 13, , 28
2022/7/20, 20, , 34
2022/7/21, 20, , 24
2022/7/22, 17, , 25
2022/7/23, 10, , 26
2022/7/24, 12, , 36
2022/7/25, 23, , 59
2022/7/26, 34, , 58
2022/7/27, 37, , 44
2022/7/28, 22, , 48
2022/7/29, 26, , 55
2022/7/30, 36, , 42
2022/7/31, 34, , 38
2022/8/1, 26, , 16
2022/6/2, 19, , 25
2022/6/3, 19, , 22
2022/6/4, 10, , 21
2022/6/5, 12, , 21
2022/6/6, 7, , 20
2022/6/7, 9, , 21
2022/6/8, 15, , 27
2022/6/9, 9, , 21
2022/6/10, 10, , 19
2022/6/11, 7, , 23
2022/6/12, 8, , 22
2022/6/13, 9, , 21
2022/6/14, 10, , 26
2022/6/15, 14, , 21
2022/6/16, 20, , 27
2022/6/17, 12, , 25
2022/6/18, 15, , 25
2022/6/19, 15, , 19
2022/6/20, 12, , 28
2022/6/21, 12, , 29
2022/6/22, 15, , 21
2022/6/23, 12, , 27
2022/6/24, 13, , 33
2022/6/25, 13, , 34
2022/6/26, 12, , 44
2022/6/27, 16, , 33
2022/6/28, 20, , 20
2022/6/29, 14, , 22
2022/6/30, 14, , 27
2022/7/1, 26, , 23
2022/5/2, 13, , 29
2022/5/3, 7, , 32
2022/5/4, 9, , 29
2022/5/5, 17, , 29
2022/5/6, 10, , 26
2022/5/7, 9, , 31
2022/5/8, 8, , 32
2022/5/9, 7, , 29
2022/5/10, 10, , 30
2022/5/11, 11, , 28
2022/5/12, 11, , 29
2022/5/13, 11, , 28
2022/5/14, 20, , 22
2022/5/15, 6, , 23
2022/5/16, 9, , 31
2022/5/17, 7, , 32
2022/5/18, 16, , 33
2022/5/19, 14, , 29
2022/5/20, 13, , 29
2022/5/21, 19, , 29
2022/5/22, 19, , 32
2022/5/23, 18, , 27
2022/5/24, 13, , 26
2022/5/25, 14, , 31
2022/5/26, 10, , 24
2022/5/27, 20, , 32
2022/5/28, 10, , 23
2022/5/29, 13, , 29
2022/5/30, 8, , 27
2022/5/31, 9, , 21
2022/6/1, 14, , 27
2022/4/2, 20, , 
2022/4/3, 21, , 
2022/4/4, 22, , 
2022/4/5, 12, , 
2022/4/6, 14, , 
2022/4/7, 21, , 
2022/4/8, 25, , 
2022/4/9, 10, , 
2022/4/10, 11, , 
2022/4/11, 8, , 
2022/4/12, 8, , 
2022/4/13, 10, , 
2022/4/14, 9, , 
2022/4/15, 13, , 
2022/4/16, 15, , 
2022/4/17, 11, , 
2022/4/18, 16, , 
2022/4/19, 13, , 
2022/4/20, 8, , 
2022/4/21, 16, , 
2022/4/22, 10, , 
2022/4/23, 26, , 
2022/4/24, 24, , 
2022/4/25, 31, , 
2022/4/26, 22, , 
2022/4/27, 12, , 
2022/4/28, 14, , 
2022/4/29, 14, , 34
2022/4/30, 12, , 34
2022/5/1, 13, , 32
2022/3/2, 13, , 
2022/3/3, 14, , 
2022/3/4, 9, , 
2022/3/5, 11, , 
2022/3/6, 23, , 
2022/3/7, 33, , 
2022/3/8, 46, , 
2022/3/9, 29, , 
2022/3/10, 22, , 
2022/3/11, 41, , 
2022/3/12, 42, , 
2022/3/13, 24, , 
2022/3/14, 9, , 
2022/3/15, 16, , 
2022/3/16, 11, , 
2022/3/17, 21, , 
2022/3/18, 24, , 
2022/3/19, 11, , 
2022/3/20, 9, , 
2022/3/21, 13, , 
2022/3/22, 10, , 
2022/3/23, 18, , 
2022/3/24, 14, , 
2022/3/25, 25, , 
2022/3/26, 25, , 
2022/3/27, 20, , 
2022/3/28, 32, , 
2022/3/29, 12, , 
2022/3/30, 13, , 
2022/3/31, 13, , 
2022/4/1, 14, , 
2022/2/2, 19, , 
2022/2/3, 12, , 
2022/2/4, 23, , 
2022/2/5, 35, , 
2022/2/6, 26, , 
2022/2/7, 62, , 
2022/2/8, 41, , 
2022/2/9, 59, , 
2022/2/10, 76, , 
2022/2/11, 69, , 
2022/2/12, 40, , 
2022/2/13, 23, , 
2022/2/14, 43, , 
2022/2/15, 11, , 
2022/2/16, 18, , 
2022/2/17, 19, , 
2022/2/18, 34, , 
2022/2/19, 63, , 
2022/2/20, 36, , 
2022/2/21, 9, , 
2022/2/22, 13, , 
2022/2/23, 24, , 
2022/2/24, 28, , 
2022/2/25, 45, , 
2022/2/26, 64, , 
2022/2/27, 86, , 
2022/2/28, 19, , 
2022/3/1, 7, , 
2022/1/4, 6, , 
